TicketID,CustomerID,IssueType,ResolutionTime,FeedbackScore
296,2422,Payment,39,3
297,2982,Technical,6,9
298,2231,Payment,19,8
299,2359,General,25,6
300,2162,General,3,9
301,2729,General,53,9
302,2228,Payment,28,2
303,2845,General,26,9
304,2221,Payment,47,8
305,2746,Technical,8,2
306,2073,General,57,9
307,2399,Technical,55,5
308,2095,Technical,1,9
309,2940,Payment,40,3
310,2475,Technical,23,4
311,2095,Payment,54,1
312,2906,Payment,42,5
313,2755,Technical,50,7
314,2885,Payment,4,7
315,2805,Payment,8,6
316,2775,Payment,36,6
317,2124,Technical,10,8
318,2800,Payment,30,9
319,2500,General,16,4
320,2779,Technical,30,4
321,2944,Technical,64,8
322,2621,Payment,11,5
323,2860,Technical,34,9
324,2964,General,55,6
325,2048,Technical,4,9
326,2813,Technical,49,4
327,2095,Technical,44,1
328,2477,Payment,31,4
329,2033,General,48,9
330,2118,General,26,7
331,2644,General,70,6
332,2251,Technical,12,2
333,2303,General,45,4
334,2122,Payment,8,1
335,2218,Technical,9,3
336,2053,Payment,1,2
337,2126,Technical,5,4
338,2159,Payment,71,4
339,2671,Technical,54,9
340,2795,Payment,24,7
341,2601,General,26,3
342,2176,Technical,10,7
343,2292,Technical,61,8
344,2945,Payment,40,7
345,2159,Payment,44,8
346,2491,Payment,12,9
347,2761,Technical,22,1
348,2357,Payment,27,6
349,2634,General,67,4
350,2237,Payment,69,1
351,2428,Payment,14,2
352,2125,Payment,25,4
353,2315,General,52,1
354,2279,Payment,59,6
355,2867,Payment,38,1
356,2836,Technical,20,9
357,2604,Technical,20,3
358,2938,Payment,56,1
359,2105,Technical,30,6
360,2042,Payment,41,6
361,2397,Payment,71,7
362,2641,General,63,7
363,2460,Payment,69,4
364,2491,Technical,29,5
365,2565,Technical,44,3
366,2168,Technical,57,6
367,2602,Technical,24,7
368,2759,Payment,19,9
369,2174,General,17,9
370,2372,General,69,5
371,2599,Payment,61,4
372,2881,Technical,4,7
373,2150,General,22,3
374,2249,General,6,4
375,2627,Payment,30,9
376,2180,Technical,11,5
377,2120,General,48,7
378,2028,Payment,46,2
379,2821,General,27,9
380,2117,General,19,5
381,2703,Technical,59,5
382,2657,Technical,68,4
383,2832,General,54,8
384,2262,Technical,17,4
385,2654,General,50,2
386,2626,General,40,5
387,2896,General,11,3
388,2785,Payment,14,4
389,2038,Technical,13,3
390,2197,Technical,28,7
391,2525,General,44,6
392,2624,Technical,63,2
393,2437,General,61,8
394,2649,Technical,17,5
395,2684,Technical,50,6
396,2639,General,26,8
397,2874,Technical,7,7
398,2410,General,16,3
399,2333,Payment,17,2
400,2531,General,35,3
401,2944,Technical,23,8
402,2465,Payment,69,4
403,2720,Payment,9,8
404,2158,General,18,4
405,2160,Payment,48,7
406,2334,General,66,6
407,2752,Technical,23,1
408,2376,General,10,8
409,2079,Payment,38,6
410,2844,General,59,2
411,2869,General,68,5
412,2843,Technical,43,2
413,2197,General,12,7
414,2120,Technical,53,6
415,2760,Payment,14,7
416,2651,Payment,52,6
417,2226,General,61,1
418,2595,General,41,3
419,2410,Payment,21,2
420,2538,Payment,48,1
421,2640,Payment,56,1
422,2913,General,35,4
423,2735,Payment,44,1
424,2339,General,39,2
425,2556,Payment,15,1
426,2596,Payment,12,6
427,2919,General,8,4
428,2537,Technical,67,8
429,2220,General,1,5
430,2293,Technical,42,5
431,2204,General,31,8
432,2880,Technical,30,6
433,2705,Technical,43,6
434,2514,Technical,26,3
435,2202,General,12,6
436,2866,General,59,7
437,2032,General,69,2
438,2089,Technical,11,3
439,2202,Technical,47,6
440,2951,General,23,9
441,2690,General,43,9
442,2705,Payment,39,8
443,2672,Payment,55,8
444,2293,Payment,18,9
445,2716,Payment,42,9
446,2753,Payment,26,9
447,2115,General,18,5
448,2722,Technical,41,6
449,2222,Technical,42,5
450,2909,General,33,1
451,2182,General,43,4
452,2771,General,14,1
453,2469,Payment,55,1
454,2426,Payment,58,3
455,2974,Payment,10,7
456,2552,General,28,1
457,2842,General,14,7
458,2834,Technical,26,1
459,2060,General,17,9
460,2485,Payment,34,5
461,2011,Technical,14,6
462,2632,General,26,9
463,2385,Technical,34,3
464,2410,Technical,24,3
465,2042,General,70,5
466,2702,Payment,20,7
467,2123,Payment,39,3
468,2701,Technical,45,4
469,2252,General,34,2
470,2973,General,22,9
471,2604,Payment,71,9
472,2484,General,33,2
473,2213,General,6,5
474,2830,Technical,16,1
475,2714,General,23,8
476,2268,General,18,6
477,2667,General,14,2
478,2707,Payment,50,2
479,2540,Payment,61,5
480,2706,Technical,36,7
481,2924,Payment,15,9
482,2735,Payment,5,9
483,2619,Payment,53,6
484,2661,Payment,48,2
485,2135,Technical,11,6
486,2498,General,2,1
487,2607,General,24,2
488,2782,General,68,3
489,2935,Technical,12,5
490,2886,Payment,59,1
491,2126,Technical,67,5
492,2359,Technical,32,5
493,2503,Technical,36,4
494,2841,General,21,3
495,2983,Payment,70,7
496,2318,General,66,7
497,2012,Technical,9,1
498,2477,Technical,44,7
499,2294,General,59,3
500,2954,General,24,3
501,2440,General,63,6
502,2807,Payment,41,6
503,2854,General,2,4
504,2516,Payment,28,5
505,2816,Payment,16,3
506,2391,General,59,3
507,2316,Technical,1,9
508,2680,Technical,1,5
509,2008,Payment,31,1
510,2508,Payment,22,9
511,2124,Payment,59,6
512,2372,Technical,28,9
513,2314,Payment,27,7
514,2185,Payment,1,7
515,2547,Technical,2,5
516,2585,General,66,7
517,2883,Technical,49,4
518,2525,General,19,6
519,2039,General,28,2
520,2084,Payment,70,3
521,2021,Payment,39,2
522,2253,General,19,2
523,2303,Payment,64,7
524,2979,General,58,5
525,2258,Payment,17,6
526,2812,Technical,70,3
527,3000,General,41,5
528,2542,General,5,5
529,2983,Payment,23,4
530,2640,Technical,69,4
531,2823,Payment,10,8
532,2552,Technical,68,6
533,2461,Payment,12,2
534,2609,General,10,2
535,2224,Technical,60,2
536,2092,Technical,30,6
537,2280,Payment,24,1
538,2170,Technical,69,3
539,2796,Payment,13,1
540,2734,Technical,9,4
541,2629,Payment,18,1
542,2248,Payment,35,9
543,2361,Payment,4,6
544,2349,General,41,8
545,2866,Technical,26,2
546,2435,General,44,6
547,2406,General,42,4
548,2601,General,10,7
549,2078,General,1,8
550,2458,Technical,54,6
551,2586,Technical,16,1
552,2392,General,46,8
553,2014,Technical,13,1
554,2045,Technical,64,9
555,2038,Payment,55,2
556,2416,Technical,63,6
557,2245,General,18,8
558,2062,Technical,61,5
559,2493,General,20,2
560,2608,Technical,65,5
561,2323,General,64,1
562,2252,Technical,64,8
563,2468,Technical,13,8
564,2061,Technical,68,2
565,2781,General,70,6
566,2119,Payment,57,8
567,2087,General,45,8
568,2595,Technical,38,7
569,2080,General,54,3
570,2228,Technical,36,4
571,2483,Technical,67,1
572,2815,Payment,11,9
573,2623,Technical,27,2
574,2882,Technical,17,7
575,2310,Technical,33,8
576,2583,Payment,5,4
577,2948,General,62,1
578,2485,Payment,65,5
579,2840,General,71,6
580,2025,Technical,67,7
581,2791,General,44,1
582,2202,General,14,4
583,2926,General,57,5
584,2225,General,48,5
585,2779,Technical,17,7
586,2510,Payment,44,4
587,2931,General,4,7
588,2795,Technical,30,8
589,2629,Technical,55,2
590,2579,Technical,30,1
591,2559,Technical,18,1
592,2753,General,44,1
593,2690,Payment,62,9
594,2520,Technical,31,4
595,2183,Payment,16,9
596,2077,Payment,23,7
597,2426,Payment,14,7
598,2067,Technical,2,2
599,2660,Technical,12,2
600,2494,Technical,58,5
601,2685,Payment,56,1
602,2547,Technical,24,7
603,2077,Technical,37,7
604,2916,Payment,29,8
605,2792,Technical,42,7
606,2697,General,18,8
607,2055,General,3,3
608,2905,General,13,3
609,2606,General,29,8
610,2473,Payment,66,9
611,2656,Technical,59,4
612,2247,General,48,8
613,2439,General,4,1
614,2712,Technical,51,2
615,2748,Payment,5,9
616,2314,General,39,2
617,2320,Technical,41,2
618,2220,Technical,5,8
619,2844,General,8,5
620,2371,General,56,5
621,2216,Technical,25,6
622,2049,Technical,52,8
623,2797,General,52,8
624,2463,General,7,9
625,2118,General,61,3
626,2082,General,47,9
627,2263,Payment,66,3
628,2589,Technical,59,1
629,2723,General,5,5
630,2496,Technical,44,7
631,2634,General,42,3
632,2837,Payment,61,9
633,2602,Technical,63,1
634,2770,Payment,50,6
635,2673,Technical,38,6
636,2176,Payment,54,8
637,2805,General,44,3
638,2089,General,24,5
639,2639,Payment,63,5
640,2985,General,39,8
641,2359,Payment,12,7
642,2286,Payment,63,3
643,2297,Technical,9,7
644,2260,Payment,22,8
645,2851,Technical,36,5
646,2475,Payment,28,5
647,2756,Technical,56,1
648,2623,Technical,29,8
649,2935,General,5,6
650,2536,Technical,4,6
651,2562,Technical,51,5
652,2037,Payment,15,5
653,2181,Technical,60,3
654,2765,General,26,3
655,2025,Payment,23,2
656,2349,Technical,29,9
657,2637,Payment,57,8
658,2543,Payment,62,3
659,2749,Payment,59,5
660,2227,Payment,48,5
661,2348,Payment,35,8
662,2038,Technical,46,6
663,2383,Payment,33,7
664,2570,Payment,71,5
665,2236,General,10,1
666,2181,General,48,8
667,2114,Payment,44,4
668,2306,Technical,70,5
669,2132,General,63,1
670,2348,General,49,3
671,2180,Payment,41,2
672,2415,Technical,39,2
673,2983,Technical,23,1
674,2590,General,13,6
675,2732,General,53,8
676,2654,General,70,3
677,2385,General,57,1
678,2512,General,67,2
679,2043,Payment,48,3
680,2480,Payment,20,6
681,2118,Payment,62,3
682,2571,General,45,9
683,2061,Payment,63,1
684,2553,General,8,7
685,2786,Technical,26,8
686,2188,Technical,38,9
687,2453,Payment,41,8
688,2847,Technical,2,5
689,2187,Technical,7,1
690,2938,Technical,25,1
691,2464,Payment,51,8
692,2740,Technical,50,7
693,2164,Payment,64,5
694,2424,General,12,3
695,2798,General,53,9
696,2102,Payment,10,4
697,2983,Payment,61,6
698,2267,Technical,55,4
699,2636,General,68,9
700,2153,Technical,42,4
701,2429,General,66,8
702,2691,Technical,44,3
703,2427,Technical,28,8
704,2578,General,58,3
705,2611,Technical,2,5
706,2943,General,55,1
707,2536,Payment,34,6
708,2333,Technical,20,2
709,2761,General,47,3
710,2677,General,26,1
711,2896,Technical,1,6
712,2440,General,65,5
713,2606,Technical,15,2
714,2971,Technical,14,8
715,2855,Payment,55,9
716,2124,Payment,1,3
717,2302,Payment,33,6
718,2668,Technical,70,6
719,2349,Technical,56,6
720,2249,General,23,8
721,2948,Payment,54,5
722,2271,Payment,3,8
723,2429,General,46,3
724,2570,Payment,6,7
725,2707,Payment,25,1
726,2713,Payment,17,4
727,2584,General,28,5
728,2247,Payment,32,7
729,2481,Technical,23,6
730,2098,Payment,16,6
731,2329,Technical,26,2
732,2593,Payment,33,2
733,2425,Technical,58,2
734,2577,Payment,48,8
735,2424,Technical,55,7
736,2005,Technical,41,1
737,2990,Payment,62,9
738,2459,General,17,8
739,2796,Payment,59,9
740,2806,General,14,4
741,2593,General,21,5
742,2498,General,63,5
743,2087,General,46,9
744,2402,General,55,8
745,2293,General,62,6
746,2923,Payment,39,1
747,2281,Technical,42,7
748,2197,Technical,48,9
749,2764,Payment,28,4
750,2083,Payment,6,4
751,2027,Payment,59,5
752,2845,General,70,8
753,2694,General,39,5
754,2135,Technical,57,4
755,2090,Payment,54,8
756,2206,Technical,60,5
757,2027,Technical,17,8
758,2378,General,40,1
759,2571,General,66,3
760,2584,Technical,54,7
761,2415,General,71,1
762,2227,General,44,5
763,2603,General,67,6
764,2068,Technical,57,1
765,2362,Technical,36,7
766,2260,Technical,57,9
767,2658,Payment,43,9
768,2063,Technical,44,3
769,2855,General,62,4
770,2992,Technical,61,1
771,2972,Payment,11,4
772,2692,General,33,5
773,2980,Technical,66,7
774,2623,Technical,23,5
775,2703,General,49,8
776,2941,Technical,20,7
777,2908,Payment,15,1
778,2392,General,66,2
779,2246,Technical,30,7
780,2278,General,4,3
781,2347,Technical,64,2
782,2937,Technical,65,9
783,2372,General,8,8
784,2809,Technical,52,8
785,2849,Technical,14,3
786,2123,General,58,9
787,2057,Technical,11,8
788,2160,Technical,59,2
789,2127,General,24,7
790,2737,Payment,32,8
791,2607,Payment,46,7
792,2311,Payment,28,9
793,2518,Payment,16,7
794,2935,Payment,42,7
795,2265,Payment,16,1
796,2746,General,12,2
797,2288,General,62,5
798,2420,General,34,1
799,2896,Technical,38,7
800,2528,Payment,47,5
801,2140,Payment,22,5
802,2809,General,3,8
803,2707,Technical,1,9
804,2698,Technical,53,1
805,2987,General,64,4
806,2475,Payment,44,2
807,2905,Technical,47,9
808,2637,Payment,38,9
809,2529,Technical,63,1
810,2878,Payment,41,3
811,2389,Technical,21,8
812,2511,Payment,45,2
813,2538,Payment,13,2
814,2213,Payment,66,2
815,2897,General,66,5
816,2513,Payment,43,9
817,2803,Payment,62,7
818,2265,Technical,48,7
819,2343,Technical,26,2
820,2038,General,61,2
821,2233,Technical,62,5
822,2260,Payment,14,7
823,2308,General,54,7
824,2403,General,41,9
825,2997,General,60,3
826,2261,Payment,9,1
827,2476,Payment,44,9
828,2750,Technical,56,1
829,2106,Technical,3,8
830,2247,Technical,59,5
831,2304,General,13,8
832,2343,Payment,30,7
833,2447,Technical,53,9
834,2038,Payment,51,2
835,2820,General,42,9
836,2855,Payment,26,5
837,2046,Payment,59,5
838,2722,General,69,1
839,2605,Technical,3,6
840,2220,Payment,41,3
841,2256,Payment,1,3
842,2137,General,65,3
843,2231,Payment,70,4
844,2818,Payment,50,9
845,2714,Payment,59,8
846,2578,General,63,6
847,2973,Payment,25,8
848,2038,General,10,8
849,2155,Technical,1,1
850,2503,Payment,14,9
851,2105,General,21,1
852,2255,General,58,2
853,2404,Payment,38,9
854,2488,General,1,7
855,2958,Technical,5,1
856,2458,Technical,44,3
857,2528,Technical,65,1
858,2591,Technical,57,5
859,2525,General,45,4
860,2370,General,60,8
861,2102,Technical,66,9
862,2916,Technical,47,4
863,2664,Technical,26,3
864,2690,Technical,9,4
865,2903,Technical,51,3
866,2599,General,8,6
867,2600,Technical,5,1
868,2541,Technical,39,2
869,2512,Payment,68,8
870,2389,General,40,3
871,2363,Technical,36,4
872,2931,General,21,1
873,2833,Payment,26,3
874,2612,Payment,56,1
875,2115,Technical,57,5
876,2722,Technical,59,1
877,2966,Technical,7,9
878,2343,Technical,42,7
879,2074,Payment,13,8
880,2135,General,34,9
881,2940,Technical,53,8
882,2968,General,46,3
883,2781,Technical,57,7
884,2862,Technical,61,7
885,2978,Payment,56,7
886,2590,Technical,29,8
887,2971,Technical,14,4
888,2380,Technical,68,6
889,2490,Payment,71,2
890,2125,General,13,7
891,2038,Payment,17,9
892,2781,Technical,29,5
893,2310,Technical,2,4
894,2106,Technical,62,2
895,2556,General,20,7
896,2225,General,56,2
897,2242,Technical,52,2
898,2397,Technical,25,9
899,2153,General,62,2
900,2536,Payment,17,3
901,2636,Payment,39,3
902,2797,General,10,2
903,2996,General,59,3
904,2966,Technical,25,9
905,2402,General,28,3
906,2860,General,61,5
907,2773,Technical,58,7
908,2146,General,44,1
909,2191,Technical,23,1
910,2893,Payment,17,2
911,2677,Payment,38,1
912,2583,Payment,30,1
913,2951,Technical,19,4
914,2201,Payment,32,3
915,2867,Payment,20,1
916,2012,Technical,64,3
917,2052,Technical,36,1
918,2953,Payment,65,3
919,2768,Payment,43,4
920,2302,Payment,26,8
921,2872,General,7,3
922,2300,Technical,34,3
923,2999,Technical,36,9
924,2920,Technical,6,9
925,2521,Technical,37,6
926,2140,Payment,62,4
927,2100,Technical,60,5
928,2485,General,64,9
929,2137,General,50,1
930,2871,Payment,52,7
931,2366,Payment,17,7
932,2884,Technical,60,1
933,2534,Payment,54,1
934,2507,Payment,10,9
935,2657,Payment,25,7
936,2161,General,18,4
937,2761,Technical,64,9
938,2175,Payment,59,5
939,2088,Technical,27,3
940,2399,Technical,58,2
941,2989,Technical,61,9
942,2480,General,71,4
943,2545,Technical,43,7
944,2477,Technical,11,1
945,2783,Payment,5,9
946,2283,Payment,58,9
947,2738,General,39,6
948,2957,Technical,48,6
949,2452,General,20,6
950,2624,Technical,19,5
951,2082,General,60,1
952,2213,Technical,26,4
953,2816,Payment,25,1
954,2520,General,15,5
955,2134,Payment,21,4
956,2447,Technical,47,8
957,2118,General,35,1
958,2596,Payment,44,8
959,2770,Payment,6,8
960,2243,Payment,23,1
961,2749,Technical,39,9
962,2150,General,18,9
963,2886,Payment,40,6
964,2533,Technical,36,1
965,2646,Technical,28,7
966,2379,Technical,64,7
967,2608,General,58,9
968,2966,Technical,38,1
969,2525,Technical,44,8
970,2513,General,2,8
971,2662,General,35,7
972,2117,Technical,1,6
973,2664,Technical,46,1
974,2576,Payment,60,8
975,2937,General,63,5
976,2990,General,45,4
977,2662,Payment,57,5
978,2317,Technical,37,5
979,2876,Technical,7,3
980,2012,Technical,16,4
981,2090,Technical,50,4
982,2388,Payment,14,8
983,2083,General,6,5
984,2976,General,61,6
985,2762,Technical,21,2
986,2896,Payment,10,9
987,2396,Technical,32,8
988,2545,Technical,6,8
989,2661,Payment,2,5
990,2640,Payment,39,5
991,2100,General,49,3
992,2457,General,27,2
993,2999,Technical,56,9
994,2874,Technical,14,6
995,2328,General,23,8
996,2724,Payment,51,4
997,2074,Technical,25,5
998,2096,Technical,53,5
999,2092,Payment,11,4
1000,2330,Technical,35,2
1001,2840,Payment,55,6
1002,2948,General,58,4
1003,2175,General,68,4
1004,2737,General,37,3
1005,2315,General,9,8
1006,2687,General,28,6
1007,2568,Technical,55,9
1008,2497,General,46,5
1009,2269,Technical,70,6
1010,2428,Technical,27,9
1011,2035,Payment,10,4
1012,2119,Technical,23,7
1013,2371,Technical,21,6
1014,2925,General,45,6
1015,2568,General,3,6
1016,2901,Payment,59,4
1017,2451,Payment,43,6
1018,2309,Technical,7,7
1019,2357,Payment,27,2
1020,2376,General,62,9
1021,2828,General,42,7
1022,2105,General,4,3
1023,2390,Technical,62,7
1024,2176,Technical,8,5
1025,2106,Payment,17,9
1026,2592,General,5,6
1027,2163,Technical,63,7
1028,2914,Technical,9,4
1029,2267,Payment,8,2
1030,2563,General,7,4
1031,2889,General,37,9
1032,2279,Payment,55,3
1033,2303,Payment,67,7
1034,2587,Payment,8,4
1035,2955,Payment,69,3
1036,2953,General,5,5
1037,2861,General,17,2
1038,2127,Payment,58,4
1039,2246,Technical,63,7
1040,2824,Technical,27,2
1041,2234,General,68,6
1042,2667,General,28,5
1043,2585,Payment,58,3
1044,2931,Technical,50,5
1045,2439,General,67,7
1046,2137,Technical,31,3
1047,2786,Payment,12,8
1048,2556,General,55,7
1049,2759,General,4,4
1050,2149,Technical,42,5
1051,2056,Technical,54,4
1052,2688,General,22,2
1053,2356,Technical,1,9
1054,2257,Technical,48,1
1055,2923,Payment,43,8
1056,2813,Technical,20,4
1057,2063,General,18,9
1058,2826,Payment,70,3
1059,2936,General,49,7
1060,2063,Payment,17,3
1061,2806,Payment,53,7
1062,2029,Technical,22,2
1063,2552,Technical,10,3
1064,2659,General,24,8
1065,2600,Technical,12,7
1066,2568,Payment,4,3
1067,2300,Technical,42,8
1068,2705,General,5,9
1069,2612,Payment,26,2
1070,2215,General,59,2
1071,2141,Technical,62,7
1072,2926,Payment,5,8
1073,2507,General,26,5
1074,2561,Technical,6,2
1075,2499,Technical,24,5
1076,2627,General,53,3
1077,2502,Payment,7,9
1078,2741,General,10,2
1079,2764,Technical,39,9
1080,2587,General,28,2
1081,2191,Technical,42,1
1082,2711,Payment,62,6
1083,2675,General,52,6
1084,2651,Payment,22,4
1085,2049,General,57,2
1086,2363,Technical,11,3
1087,2879,Payment,14,6
1088,2627,Technical,31,4
1089,2680,General,4,5
1090,2496,Technical,22,9
1091,2277,General,64,5
1092,2047,Payment,61,8
1093,2771,Technical,6,2
1094,2926,Technical,68,6
1095,2216,General,6,6
1096,2230,General,66,5
1097,2639,General,36,6
1098,2323,Payment,15,5
1099,2830,Technical,40,2
1100,2421,General,41,5
1101,2225,General,7,1
1102,2662,Technical,22,3
1103,2287,Payment,11,7
1104,2046,Technical,2,4
1105,2972,General,30,8
1106,2813,Technical,68,3
1107,2014,General,53,7
1108,2633,General,21,2
1109,2908,Technical,25,8
1110,2375,Technical,5,3
1111,2703,Payment,66,6
1112,2987,General,49,2
1113,2333,General,8,7
1114,2856,General,27,4
1115,2166,General,2,6
1116,2507,General,28,2
1117,2117,Technical,11,3
1118,2943,General,46,3
1119,2636,Technical,21,4
